Ticker  purchase    sold :
A     17000          25000
C     25000          30000
J     30000          54000
C     54000          62000
K     62000          78000
C     78000          111000
I     111000         123000
E     123000         154000
G     154000         185000
F     185000         200000
B     200000         245000
D     245000         290000
G     290000         320000
H     320000         375000
G     375000         400000
H     400000         435000
D     435000         498000
H     498000         500000
E     500000         550000
E     550000         600000
